ORIGIN_TIME,LON,LAT,DEPTH,MW,N_RECS
1995-09-18T06:56,128.968,-6.925,181,6.0,1
1995-12-05T06:32,124.670,-9.027,33,6.4,1
1995-12-25T04:43,129.151,-6.903,142,7.1,2
1997-07-31T21:54,130.917,-6.637,59,6.0,1
1997-09-26T15:48,128.994,-5.385,254,6.0,1
1997-11-03T19:17,129.021,-6.736,216,6.1,1
2000-03-03T22:09,128.491,-7.321,142,6.4,2
2001-04-04T07:44,132.369,-5.176,33,6.4,1
2001-05-28T08:37,132.346,-6.609,33,6.0,1
2001-07-22T18:15,132.338,-5.147,33,6.0,1
2001-09-18T02:19,127.739,-7.506,132,6.0,1
2001-11-20T21:08,128.921,-6.880,33,6.2,1
2003-03-09T10:36,130.985,-6.820,46,6.0,1
2003-08-28T06:38,126.051,-7.324,409,6.0,1
2004-06-25T02:35,130.375,-6.711,70,6.1,1
2004-11-11T21:26,124.868,-8.152,10,7.5,2
2005-03-02T10:42,129.933,-6.527,202,7.1,2
2005-03-26T15:40,129.938,-4.894,10,6.1,2
2006-01-15T11:58,122.597,-7.826,265,6.1,1
2006-01-27T16:58,128.131,-5.473,397,7.6,2
2006-11-14T14:21,127.998,-6.390,345,6.1,5
2007-08-17T03:04,129.432,-5.261,10,6.4,3
2007-12-15T08:03,127.474,-7.526,176,6.0,4
2007-12-15T09:39,131.090,-6.622,57,6.4,4
2008-01-30T07:32,127.688,-7.302,8,6.2,4
2008-02-13T19:58,128.644,-8.158,19,6.2,4
2008-04-19T03:12,125.694,-7.815,13,6.1,3
2008-04-19T10:21,125.722,-7.875,10,6.0,3
2008-06-06T13:42,127.885,-7.495,122,6.0,4
2008-08-04T20:45,130.195,-5.916,174,6.3,5
2008-11-07T16:04,129.074,-6.712,10,6.2,5
2008-12-06T10:55,124.745,-7.393,398,6.4,4
2009-01-22T20:16,128.568,-7.307,147,6.1,3
2009-08-28T01:51,123.427,-7.146,642,6.9,2
2009-10-24T14:40,130.385,-6.133,130,6.9,7
2009-12-26T08:57,131.205,-5.530,85,6.1,6
2010-01-24T05:38,129.029,-8.205,19,5.5,5
2010-02-15T21:51,128.723,-7.217,126,6.2,5
2010-03-25T15:13,128.460,-7.289,165,5.4,5
2010-03-26T10:39,130.284,-6.326,124,5.7,5
2010-04-02T02:42,127.485,-7.633,177,5.4,5
2010-05-09T02:02,128.936,-8.169,37,5.4,4
2010-06-16T00:04,129.181,-6.460,223,5.3,4
2010-07-01T16:57,129.385,-5.171,36,5.8,4
2010-07-27T16:54,126.393,-7.318,378,5.5,4
2010-08-06T08:58,128.454,-7.400,57,5.4,5
2010-10-02T11:29,128.751,-6.559,240,5.5,4
2010-10-16T15:44,125.699,-7.366,7,5.9,3
2010-11-12T02:14,130.035,-6.553,169,5.5,5
2010-11-16T20:06,130.700,-5.897,119,5.4,4
2010-11-17T15:53,129.446,-7.797,23,5.9,5
2010-12-04T12:55,130.473,-6.409,119,5.4,5
2010-12-08T15:31,129.898,-6.686,172,5.5,5
2010-12-15T11:29,128.786,-7.268,135,6.0,4
2010-12-17T13:22,129.996,-6.480,155,5.5,5
2011-01-14T16:39,129.231,-6.959,168,5.4,6
2011-01-15T12:56,130.252,-5.650,199,5.7,7
2011-04-26T21:43,125.659,-8.810,10,5.3,4
2011-05-19T06:33,123.398,-6.994,632,5.3,3
2011-05-26T08:57,121.673,-8.295,30,5.3,1
2011-06-27T16:47,122.471,-8.926,120,5.5,2
2011-07-12T21:06,130.492,-6.055,131,5.6,6
2011-07-16T17:06,127.585,-7.089,249,5.9,6
2011-08-19T07:48,123.281,-7.817,229,5.3,4
2011-08-30T06:57,126.752,-6.362,470,6.9,6
2011-11-15T07:56,127.849,-7.482,166,5.5,5
2012-04-30T18:11,128.511,-5.689,356,5.5,5
2012-07-20T18:14,123.682,-8.006,42,5.4,4
2012-08-02T07:37,131.121,-6.944,65,5.5,7
2012-10-29T06:28,123.465,-8.185,10,5.5,5
2012-11-28T08:56,131.134,-5.398,50,5.6,7
2012-12-10T16:53,129.825,-6.533,155,7.1,4
2013-02-12T22:25,131.350,-6.905,54,5.3,7
2013-02-23T11:09,127.467,-8.467,20,5.9,6
2013-04-19T17:51,121.632,-11.976,15,5.8,3
2013-04-20T04:51,130.218,-6.292,108,5.9,5
2013-05-25T10:32,127.916,-7.510,100,5.5,5
2013-08-12T00:53,129.809,-7.135,95,6.0,6
2013-09-01T11:52,128.221,-7.440,112,6.5,7
2013-09-07T13:55,130.262,-6.419,120,5.4,8
2013-11-18T21:31,123.761,-10.060,29,5.4,2
2013-12-01T01:24,128.379,-7.027,10,6.4,7
2013-12-19T21:34,128.323,-6.908,11,5.7,9
2014-01-05T21:29,128.427,-6.994,39,5.3,7
2014-01-24T14:31,130.588,-6.630,60,5.3,7
2014-02-03T22:36,128.172,-7.192,7,5.8,8
2014-02-10T18:06,124.528,-8.208,19,5.5,6
2014-08-06T11:45,128.036,-7.274,10,6.2,7
2014-08-17T02:38,125.457,-7.066,490,5.3,7
2014-10-13T22:05,129.704,-6.666,155,5.3,7
2014-12-06T22:05,130.483,-6.110,116,6.0,10
2015-04-01T09:35,132.542,-6.901,9,5.4,8
2015-06-15T17:40,125.252,-9.742,20,5.8,1
2015-09-27T02:56,129.605,-7.177,107,5.5,9
2015-10-31T04:43,124.064,-9.059,54,5.3,5
2015-11-03T21:25,124.907,-8.283,10,5.7,6
2015-11-04T03:44,124.875,-8.338,20,6.5,5
2015-11-04T03:51,124.859,-8.203,10,5.3,5
2015-11-11T23:36,128.930,-7.249,126,5.8,8
2015-11-21T09:06,129.938,-7.148,82,6.1,7
2015-12-13T06:42,129.859,-6.868,77,5.4,7
2015-12-24T23:10,128.977,-7.218,119,5.8,6
2016-03-03T08:34,125.188,-9.412,20,5.4,5
2016-03-19T08:51,129.492,-5.566,270,5.7,8
2016-04-06T20:35,130.430,-6.029,118,5.5,8
2016-04-14T23:15,128.124,-7.459,137,5.6,7
2016-07-07T10:12,126.756,-7.914,27,5.4,5
2016-08-18T11:19,128.202,-7.376,137,5.3,6
2016-08-23T19:39,122.434,-7.287,533,6.0,3
2016-11-17T16:56,130.479,-6.258,112,5.5,7
2016-12-05T01:13,123.380,-7.316,526,6.3,4
2016-12-21T00:17,127.921,-7.508,152,6.7,6
2017-01-31T15:55,125.412,-6.997,493,5.4,6
2017-03-01T06:59,130.037,-6.366,141,5.3,6
2017-08-18T21:00,128.049,-6.258,14,5.5,6
2017-10-24T10:47,123.073,-7.217,554,6.7,3
2017-10-25T11:58,131.091,-4.855,42,5.5,8
2017-11-29T23:53,129.782,-6.736,157,5.5,4
2018-01-18T17:48,132.813,-6.396,33,5.6,5
2018-03-02T02:20,130.278,-6.135,135,5.9,9
2018-03-25T08:58,128.485,-7.305,144,5.7,7
2018-03-25T20:14,129.817,-6.634,169,6.4,55
2018-04-23T07:37,123.645,-6.311,653,5.5,2
2018-06-04T18:24,123.207,-7.060,631,5.3,3
2018-07-28T17:07,122.726,-7.104,578,6.0,4
2018-08-03T05:42,132.707,-6.212,36,5.4,6
2018-08-28T07:08,124.187,-10.773,14,6.2,3
2018-10-20T09:47,128.271,-6.516,359,5.6,6
2018-12-01T13:27,128.707,-7.384,136,6.4,15
2018-12-03T14:00,128.748,-7.362,131,5.5,7
2019-01-04T06:22,130.407,-6.518,128,5.6,8
2019-04-06T21:55,125.042,-6.829,539,6.3,6
2019-06-14T20:10,130.712,-5.855,105,5.6,42
2019-06-17T05:43,123.036,-8.850,109,5.5,5
2019-06-24T02:53,129.220,-6.389,208,7.3,50
2019-08-10T12:01,129.558,-5.580,21,5.4,7
2019-09-21T19:53,130.446,-6.510,48,5.9,52
2020-02-20T20:24,129.633,-6.734,157,5.4,1
2020-02-26T07:33,131.119,-7.562,61,5.9,4
2020-04-02T02:13,125.663,-7.951,35,5.5,2
2020-05-06T13:53,129.861,-6.795,107,6.8,13
2020-05-11T01:06,129.919,-6.066,10,5.6,7
2020-08-21T04:09,123.493,-6.670,627,6.9,1
2021-06-24T02:24,128.286,-5.970,337,5.7,8
